K,Bytes,AvgTimeMs
# Client started: Wed Jan 28 01:08:00 MSK 2026
# Parameters: N=1024, M=5000, Q=10
1054,1079304,65
1055,1080328,73
1056,1081352,77
1057,1082376,82
1058,1083400,69
1059,1084424,82
1060,1085448,78
1061,1086472,70
1062,1087496,70
1063,1088520,76
1064,1089544,72
1065,1090568,71
1066,1091592,68
1067,1092616,78
1068,1093640,71
1069,1094664,69
1070,1095688,80
1071,1096712,77
1072,1097736,70
1073,1098760,77
1074,1099784,71
1075,1100808,77
1076,1101832,68
1077,1102856,69
1078,1103880,76
1079,1104904,76
1080,1105928,73
1081,1106952,68
1082,1107976,73
1083,1109000,70
1084,1110024,71
1085,1111048,75
1086,1112072,68
1087,1113096,71
1088,1114120,70
1089,1115144,84
1090,1116168,69
1091,1117192,68
1092,1118216,77
1093,1119240,76
1094,1120264,73
1095,1121288,65
1096,1122312,74
1097,1123336,67
1098,1124360,71
1099,1125384,67
1100,1126408,70
1101,1127432,67
1102,1128456,68
1103,1129480,65
1104,1130504,67
1105,1131528,70
1106,1132552,68
1107,1133576,68
1108,1134600,75
1109,1135624,72
1110,1136648,70
1111,1137672,78
1112,1138696,71
1113,1139720,72
1114,1140744,69
1115,1141768,77
1116,1142792,72
1117,1143816,72
1118,1144840,70
1119,1145864,72
1120,1146888,69
1121,1147912,71
1122,1148936,65
1123,1149960,69
1124,1150984,75
1125,1152008,72
1126,1153032,71
1127,1154056,77
1128,1155080,79
1129,1156104,73
1130,1157128,72
1131,1158152,71
1132,1159176,71
1133,1160200,74
1134,1161224,86
1135,1162248,79
1136,1163272,70
1137,1164296,72
1138,1165320,70
1139,1166344,69
1140,1167368,80
1141,1168392,70
1142,1169416,75
1143,1170440,74
1144,1171464,69
1145,1172488,70
1146,1173512,89
1147,1174536,72
1148,1175560,79
1149,1176584,80
1150,1177608,66
1151,1178632,64
1152,1179656,91
1153,1180680,77
1154,1181704,68
1155,1182728,82
1156,1183752,82
1157,1184776,71
1158,1185800,68
1159,1186824,74
1160,1187848,71
1161,1188872,67
1162,1189896,80
1163,1190920,79
1164,1191944,72
1165,1192968,71
1166,1193992,76
1167,1195016,69
1168,1196040,77
1169,1197064,67
1170,1198088,77
1171,1199112,72
1172,1200136,73
1173,1201160,65
1174,1202184,75
1175,1203208,74
1176,1204232,71
1177,1205256,72
1178,1206280,69
1179,1207304,75
1180,1208328,75
1181,1209352,83
1182,1210376,67
1183,1211400,65
1184,1212424,70
1185,1213448,75
1186,1214472,67
1187,1215496,71
1188,1216520,73
1189,1217544,73
1190,1218568,72
1191,1219592,85
1192,1220616,70
1193,1221640,75
1194,1222664,75
1195,1223688,110
1196,1224712,70
1197,1225736,70
1198,1226760,71
1199,1227784,74
1200,1228808,73
1201,1229832,68
1202,1230856,79
1203,1231880,72
1204,1232904,74
1205,1233928,73
1206,1234952,77
1207,1235976,70
1208,1237000,68
1209,1238024,77
1210,1239048,83
1211,1240072,65
1212,1241096,65
1213,1242120,67
1214,1243144,72
1215,1244168,72
1216,1245192,73
1217,1246216,75
1218,1247240,73
1219,1248264,71
1220,1249288,73
1221,1250312,78
1222,1251336,72
1223,1252360,71
1224,1253384,73
1225,1254408,72
1226,1255432,77
1227,1256456,76
1228,1257480,73
1229,1258504,72
1230,1259528,79
1231,1260552,76
1232,1261576,74
1233,1262600,72
1234,1263624,73
1235,1264648,80
1236,1265672,75
1237,1266696,75
1238,1267720,78
1239,1268744,85
1240,1269768,76
1241,1270792,70
1242,1271816,80
1243,1272840,81
1244,1273864,207
1245,1274888,68
1246,1275912,71
1247,1276936,98
1248,1277960,71
1249,1278984,80
1250,1280008,71
1251,1281032,73
1252,1282056,69
1253,1283080,76
1254,1284104,71
1255,1285128,67
1256,1286152,70
1257,1287176,72
1258,1288200,71
1259,1289224,71
1260,1290248,73
1261,1291272,76
1262,1292296,73
1263,1293320,75
1264,1294344,73
1265,1295368,72
1266,1296392,69
1267,1297416,70
1268,1298440,91
1269,1299464,68
1270,1300488,69
1271,1301512,74
1272,1302536,77
1273,1303560,93
1274,1304584,73
1275,1305608,73
1276,1306632,76
1277,1307656,79
1278,1308680,78
1279,1309704,77
1280,1310728,79
1281,1311752,74
1282,1312776,73
1283,1313800,79
1284,1314824,75
1285,1315848,76
1286,1316872,71
1287,1317896,70
1288,1318920,76
1289,1319944,75
1290,1320968,73
1291,1321992,72
1292,1323016,73
1293,1324040,77
1294,1325064,70
1295,1326088,71
1296,1327112,72
1297,1328136,75
1298,1329160,72
1299,1330184,69
1300,1331208,75
1301,1332232,105
1302,1333256,70
1303,1334280,69
1304,1335304,74
1305,1336328,71
1306,1337352,77
1307,1338376,78
1308,1339400,75
1309,1340424,80
1310,1341448,79
1311,1342472,69
1312,1343496,84
1313,1344520,77
1314,1345544,81
1315,1346568,77
1316,1347592,72
1317,1348616,75
1318,1349640,70
1319,1350664,79
1320,1351688,76
1321,1352712,82
1322,1353736,188
1323,1354760,85
1324,1355784,85
1325,1356808,81
1326,1357832,84
1327,1358856,75
1328,1359880,76
1329,1360904,81
1330,1361928,72
1331,1362952,87
1332,1363976,76
1333,1365000,73
1334,1366024,72
1335,1367048,81
1336,1368072,73
1337,1369096,75
1338,1370120,72
1339,1371144,82
1340,1372168,74
1341,1373192,82
1342,1374216,69
1343,1375240,70
1344,1376264,73
1345,1377288,78
1346,1378312,73
1347,1379336,77
1348,1380360,80
1349,1381384,74
1350,1382408,71
1351,1383432,81
1352,1384456,84
1353,1385480,75
1354,1386504,86
1355,1387528,73
1356,1388552,81
1357,1389576,89
1358,1390600,75
1359,1391624,88
1360,1392648,71
1361,1393672,84
1362,1394696,76
1363,1395720,80
1364,1396744,79
1365,1397768,132
1366,1398792,78
1367,1399816,75
1368,1400840,78
1369,1401864,87
1370,1402888,75
1371,1403912,74
1372,1404936,76
1373,1405960,91
1374,1406984,78
1375,1408008,72
1376,1409032,83
1377,1410056,87
1378,1411080,71
1379,1412104,80
1380,1413128,72
1381,1414152,72
1382,1415176,73
1383,1416200,241
1384,1417224,85
1385,1418248,76
1386,1419272,90
1387,1420296,79
1388,1421320,88
1389,1422344,76
1390,1423368,98
1391,1424392,87
1392,1425416,86
1393,1426440,74
1394,1427464,73
1395,1428488,85
1396,1429512,83
1397,1430536,79
1398,1431560,74
1399,1432584,73
1400,1433608,82
1401,1434632,76
1402,1435656,80
1403,1436680,78
1404,1437704,76
1405,1438728,72
1406,1439752,80
1407,1440776,188
1408,1441800,89
1409,1442824,75
1410,1443848,73
1411,1444872,84
1412,1445896,81
1413,1446920,82
1414,1447944,73
1415,1448968,74
1416,1449992,81
1417,1451016,73
1418,1452040,90
1419,1453064,75
1420,1454088,84
1421,1455112,80
1422,1456136,75
1423,1457160,78
1424,1458184,79
1425,1459208,194
1426,1460232,93
1427,1461256,71
1428,1462280,80
1429,1463304,79
1430,1464328,81
1431,1465352,85
1432,1466376,88
1433,1467400,82
1434,1468424,77
1435,1469448,77
1436,1470472,95
1437,1471496,182
1438,1472520,75
1439,1473544,76
1440,1474568,70
1441,1475592,78
1442,1476616,76
1443,1477640,88
1444,1478664,92
1445,1479688,81
1446,1480712,81
1447,1481736,78
1448,1482760,80
1449,1483784,71
1450,1484808,78
1451,1485832,82
1452,1486856,73
1453,1487880,80
1454,1488904,84
1455,1489928,197
1456,1490952,79
1457,1491976,72
1458,1493000,81
1459,1494024,87
1460,1495048,85
1461,1496072,84
1462,1497096,77
1463,1498120,76
1464,1499144,81
1465,1500168,76
1466,1501192,79
1467,1502216,84
1468,1503240,76
1469,1504264,79
1470,1505288,82
1471,1506312,83
1472,1507336,102
1473,1508360,72
1474,1509384,73
1475,1510408,73
1476,1511432,80
1477,1512456,74
1478,1513480,74
1479,1514504,88
1480,1515528,81
1481,1516552,81
1482,1517576,77
1483,1518600,76
1484,1519624,75
1485,1520648,80
1486,1521672,73
1487,1522696,78
1488,1523720,81
1489,1524744,76
1490,1525768,84
1491,1526792,73
1492,1527816,83
1493,1528840,88
1494,1529864,84
1495,1530888,69
1496,1531912,87
1497,1532936,90
1498,1533960,79
1499,1534984,83
1500,1536008,82
1501,1537032,84
1502,1538056,102
1503,1539080,159
1504,1540104,77
1505,1541128,78
1506,1542152,77
1507,1543176,72
1508,1544200,86
1509,1545224,75
1510,1546248,83
1511,1547272,73
1512,1548296,89
1513,1549320,79
1514,1550344,93
1515,1551368,96
1516,1552392,74
1517,1553416,83
1518,1554440,86
1519,1555464,71
1520,1556488,98
1521,1557512,144
1522,1558536,146
1523,1559560,85
1524,1560584,96
1525,1561608,77
1526,1562632,81
1527,1563656,82
1528,1564680,83
1529,1565704,87
1530,1566728,82
1531,1567752,86
1532,1568776,93
1533,1569800,76
1534,1570824,84
1535,1571848,75
1536,1572872,85
1537,1573896,81
1538,1574920,79
1539,1575944,80
1540,1576968,85
1541,1577992,78
1542,1579016,77
1543,1580040,93
1544,1581064,99
1545,1582088,76
1546,1583112,93
1547,1584136,83
1548,1585160,85
1549,1586184,81
1550,1587208,83
1551,1588232,72
1552,1589256,86
1553,1590280,79
