K,Bytes,AvgTimeMs
# Client started: Tue Jan 27 16:03:26 MSK 2026
# Parameters: N=8, M=5000, Q=25
803,6432,10
804,6440,11
805,6448,10
806,6456,9
807,6464,11
808,6472,11
809,6480,13
810,6488,12
811,6496,10
812,6504,11
813,6512,11
814,6520,10
815,6528,13
816,6536,13
817,6544,10
818,6552,11
819,6560,12
820,6568,10
821,6576,11
822,6584,12
823,6592,13
824,6600,11
825,6608,10
826,6616,10
827,6624,11
828,6632,11
829,6640,10
830,6648,11
831,6656,13
832,6664,11
833,6672,13
834,6680,13
835,6688,10
836,6696,9
837,6704,12
838,6712,11
839,6720,10
840,6728,10
841,6736,9
842,6744,11
843,6752,11
844,6760,12
845,6768,12
846,6776,12
847,6784,11
848,6792,12
849,6800,12
850,6808,12
851,6816,11
852,6824,11
853,6832,13
854,6840,11
855,6848,12
856,6856,11
857,6864,11
858,6872,11
859,6880,11
860,6888,11
861,6896,10
862,6904,11
863,6912,13
864,6920,12
865,6928,11
866,6936,10
867,6944,12
868,6952,12
869,6960,11
870,6968,9
871,6976,11
872,6984,12
873,6992,9
874,7000,9
875,7008,11
876,7016,13
877,7024,10
878,7032,10
879,7040,12
880,7048,10
881,7056,12
882,7064,11
883,7072,12
884,7080,11
885,7088,13
886,7096,11
887,7104,12
888,7112,12
889,7120,12
890,7128,12
891,7136,10
892,7144,12
893,7152,12
894,7160,10
895,7168,10
896,7176,10
897,7184,12
898,7192,12
899,7200,12
900,7208,9
901,7216,10
902,7224,9
903,7232,9
904,7240,10
905,7248,11
906,7256,10
907,7264,11
908,7272,11
909,7280,11
910,7288,17
911,7296,15
912,7304,11
913,7312,12
914,7320,12
915,7328,10
916,7336,9
917,7344,11
918,7352,10
919,7360,11
920,7368,12
921,7376,11
922,7384,11
923,7392,12
924,7400,11
925,7408,13
926,7416,12
927,7424,19
928,7432,10
929,7440,12
930,7448,22
931,7456,11
932,7464,16
933,7472,15
934,7480,9
935,7488,9
936,7496,12
937,7504,10
938,7512,23
939,7520,12
940,7528,10
941,7536,11
942,7544,13
943,7552,11
944,7560,14
945,7568,11
946,7576,23
947,7584,21
948,7592,11
949,7600,10
950,7608,12
951,7616,10
952,7624,11
953,7632,10
954,7640,13
955,7648,12
956,7656,11
957,7664,11
958,7672,11
959,7680,11
960,7688,11
961,7696,9
962,7704,10
963,7712,12
964,7720,10
965,7728,13
966,7736,11
967,7744,11
968,7752,13
969,7760,9
970,7768,11
971,7776,12
972,7784,11
973,7792,8
974,7800,9
975,7808,12
976,7816,12
977,7824,10
978,7832,10
979,7840,11
980,7848,9
981,7856,10
982,7864,12
983,7872,10
984,7880,10
985,7888,12
986,7896,11
987,7904,9
988,7912,12
989,7920,15
990,7928,9
991,7936,13
992,7944,9
993,7952,11
994,7960,10
995,7968,12
996,7976,11
997,7984,13
998,7992,12
999,8000,11
1000,8008,12
1001,8016,11
1002,8024,11
1003,8032,12
1004,8040,10
1005,8048,11
1006,8056,13
1007,8064,10
1008,8072,11
1009,8080,11
1010,8088,12
1011,8096,10
1012,8104,11
1013,8112,10
1014,8120,11
1015,8128,11
1016,8136,10
1017,8144,11
1018,8152,11
1019,8160,11
1020,8168,10
1021,8176,11
1022,8184,10
1023,8192,19
1024,8200,11
1025,8208,11
1026,8216,12
1027,8224,10
1028,8232,9
1029,8240,11
1030,8248,9
1031,8256,11
1032,8264,11
1033,8272,12
1034,8280,12
1035,8288,12
1036,8296,11
1037,8304,10
1038,8312,13
1039,8320,12
1040,8328,11
1041,8336,12
1042,8344,13
1043,8352,10
1044,8360,14
1045,8368,11
1046,8376,12
1047,8384,11
1048,8392,11
1049,8400,10
1050,8408,10
1051,8416,12
1052,8424,10
1053,8432,9
1054,8440,12
1055,8448,10
1056,8456,11
1057,8464,10
1058,8472,12
1059,8480,11
1060,8488,11
1061,8496,12
1062,8504,13
1063,8512,11
1064,8520,10
1065,8528,14
1066,8536,13
1067,8544,10
1068,8552,10
1069,8560,11
1070,8568,11
1071,8576,11
1072,8584,10
1073,8592,10
1074,8600,11
1075,8608,10
1076,8616,10
1077,8624,11
1078,8632,12
1079,8640,11
1080,8648,11
1081,8656,9
1082,8664,9
1083,8672,12
1084,8680,14
1085,8688,11
1086,8696,12
1087,8704,11
1088,8712,10
1089,8720,10
1090,8728,11
1091,8736,11
1092,8744,15
1093,8752,11
1094,8760,10
1095,8768,11
1096,8776,11
1097,8784,11
1098,8792,12
1099,8800,12
1100,8808,13
1101,8816,12
1102,8824,13
1103,8832,13
1104,8840,11
1105,8848,12
1106,8856,10
1107,8864,11
1108,8872,11
1109,8880,10
1110,8888,12
1111,8896,9
1112,8904,10
1113,8912,14
1114,8920,12
1115,8928,12
1116,8936,14
1117,8944,12
1118,8952,11
1119,8960,10
1120,8968,10
1121,8976,13
1122,8984,8
1123,8992,11
1124,9000,11
1125,9008,13
1126,9016,12
1127,9024,11
1128,9032,13
1129,9040,13
1130,9048,11
1131,9056,11
1132,9064,12
1133,9072,12
1134,9080,12
1135,9088,11
1136,9096,12
1137,9104,12
1138,9112,10
1139,9120,10
1140,9128,15
1141,9136,12
1142,9144,12
1143,9152,10
1144,9160,11
1145,9168,16
1146,9176,10
1147,9184,13
1148,9192,12
1149,9200,9
1150,9208,11
1151,9216,10
1152,9224,10
1153,9232,10
1154,9240,11
1155,9248,11
1156,9256,9
1157,9264,8
1158,9272,10
1159,9280,11
1160,9288,12
1161,9296,9
1162,9304,12
1163,9312,13
1164,9320,12
1165,9328,12
1166,9336,12
1167,9344,13
1168,9352,11
1169,9360,12
1170,9368,8
1171,9376,14
1172,9384,9
1173,9392,9
1174,9400,9
1175,9408,11
1176,9416,12
1177,9424,13
1178,9432,11
1179,9440,11
1180,9448,12
1181,9456,12
1182,9464,11
1183,9472,13
1184,9480,12
1185,9488,11
1186,9496,11
1187,9504,11
1188,9512,10
1189,9520,11
1190,9528,12
1191,9536,11
1192,9544,11
1193,9552,13
1194,9560,11
1195,9568,14
1196,9576,11
1197,9584,13
1198,9592,12
1199,9600,12
1200,9608,10
1201,9616,13
1202,9624,12
1203,9632,12
1204,9640,11
1205,9648,12
1206,9656,14
1207,9664,11
1208,9672,10
1209,9680,14
1210,9688,9
1211,9696,10
1212,9704,10
1213,9712,12
1214,9720,13
1215,9728,10
1216,9736,11
1217,9744,12
1218,9752,11
1219,9760,10
1220,9768,11
1221,9776,13
1222,9784,12
1223,9792,11
1224,9800,12
1225,9808,12
1226,9816,12
1227,9824,11
1228,9832,11
1229,9840,10
1230,9848,16
1231,9856,12
1232,9864,13
1233,9872,9
1234,9880,11
1235,9888,12
1236,9896,13
1237,9904,12
1238,9912,11
1239,9920,13
1240,9928,12
1241,9936,12
1242,9944,13
1243,9952,13
1244,9960,12
1245,9968,11
1246,9976,11
1247,9984,10
1248,9992,11
1249,10000,10
1250,10008,12
1251,10016,13
1252,10024,11
1253,10032,11
1254,10040,12
1255,10048,13
1256,10056,15
1257,10064,14
1258,10072,13
1259,10080,12
1260,10088,12
1261,10096,10
1262,10104,12
1263,10112,13
1264,10120,11
1265,10128,11
1266,10136,11
1267,10144,10
1268,10152,10
1269,10160,13
1270,10168,12
1271,10176,11
1272,10184,10
1273,10192,11
1274,10200,12
1275,10208,13
1276,10216,12
1277,10224,13
1278,10232,11
1279,10240,12
1280,10248,11
1281,10256,9
1282,10264,13
1283,10272,12
1284,10280,12
1285,10288,10
1286,10296,13
1287,10304,10
1288,10312,10
1289,10320,11
1290,10328,12
1291,10336,11
1292,10344,12
1293,10352,11
1294,10360,12
1295,10368,23
1296,10376,10
1297,10384,11
1298,10392,9
1299,10400,10
1300,10408,13
1301,10416,12
1302,10424,10
1303,10432,10
1304,10440,11
1305,10448,13
1306,10456,12
1307,10464,10
1308,10472,11
1309,10480,11
1310,10488,12
1311,10496,11
1312,10504,11
1313,10512,9
1314,10520,10
1315,10528,11
1316,10536,12
1317,10544,11
1318,10552,13
1319,10560,10
1320,10568,11
1321,10576,10
1322,10584,18
1323,10592,10
1324,10600,9
1325,10608,9
1326,10616,10
1327,10624,14
1328,10632,11
1329,10640,11
